"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLIT1",1.55307586883453,4.94622626200735,4.68961405360159,0.000133717294094088,0.0187065247876084,1.1763536254024
"LOC100505938",1.52252902343406,6.97267107978118,4.68488638311802,0.000135208725080503,0.0187065247876084,1.16613651068237
"PRAC1",1.02974239854704,11.0539161432553,4.64257182755075,0.000149328475797805,0.0196974585509066,1.07463232098821
"CCDC78",1.82270014410944,6.33394706742555,4.64092146603685,0.000149908379277733,0.0196974585509066,1.07106144127513
"PYCR1",1.33948674165841,6.8982568054969,4.48984367947282,0.000213867158850383,0.0226583584511757,0.743614750327817
"SIM2",1.37037334434725,7.04846980146671,4.43368583057199,0.000244121134210093,0.0241212226024145,0.621660406727208
"APOF",1.69189349575046,5.81519710493099,4.37145378044824,0.000282703393776719,0.0260140489317818,0.486403271608342
"CGREF1",1.3884932942469,5.71972888957952,4.32619977159391,0.000314555967944188,0.0271002064690377,0.387989203988941
"TARP /// TRGC2 /// TRGV9",1.64218655282888,11.8340006446698,4.28793160160859,0.000344287583548041,0.0283134404372375,0.304739304173427
"ADAM2",1.70241992529179,4.48272663920545,4.28518742936147,0.000346524909480356,0.0283254667829622,0.298768762776125
"C14orf39",1.37898306989902,6.73877691622956,4.27938176627121,0.000351306442014673,0.0284921638489142,0.286136994252414
"MS4A8",3.08572045238394,6.8906796473342,4.26255491194617,0.000365542039349559,0.0294436601558275,0.249523671671364
"LOC101060264",1.63075631790848,7.03918445692105,4.23545900802771,0.000389690614655825,0.0299526903813889,0.190561099773942
"SMPDL3B",1.00482800289453,4.6813431755661,4.15048258965362,0.000476285263933535,0.0333301485764152,0.00563488043594962
"DNAH5",2.13080651059203,8.50193405825323,4.10134061707175,0.00053489386834184,0.0347873197009468,-0.101291213902346
"EPCAM",1.03046682953757,10.8163439146638,4.06571436306994,0.000581839679272437,0.0354533556070432,-0.178788759447207
"CHKB-CPT1B /// CPT1B",1.16319073574035,8.57894716905158,4.01233189596628,0.00065999129067461,0.0372157131796251,-0.294862957536383
"SLC45A2",2.07834913116553,5.44348707620525,4.00549701630469,0.000670725767717873,0.0372505326752224,-0.30971943982384
"MATR3",1.68749625095534,6.71414876587331,3.98307374010898,0.000707179656260793,0.0381186955994683,-0.358449585558333
"C1orf64",1.10826171162981,5.60031213384342,3.96271171954258,0.000741989830804407,0.0386953455000436,-0.402686188060509
"THBS4",2.2070736655715,8.94241693481614,3.94566430133639,0.000772442358477574,0.0396331119801874,-0.439710502727967
"NAALADL2",1.1106450908403,6.43600317800111,3.91043997317219,0.000839362530162462,0.0405120060787712,-0.516175961426172
"STIL",1.07576569239806,8.0896055658291,3.90900098712949,0.000842215724419966,0.0405120060787712,-0.519298615663406
"SMKR1",1.18572787566429,4.38428626500148,3.88957612646562,0.000881688270336087,0.0408897012241918,-0.561442090552868
"TXLNB",1.33076140791366,3.64670118139515,3.8834498907354,0.000894514672913588,0.0408897012241918,-0.574729674754269
"FLJ22184",1.11674088036521,5.31665377415883,3.87451508508516,0.000913554565081401,0.0408897012241918,-0.594105655489264
"ZNF30",1.18681081734513,7.39640131229233,3.83464898929363,0.00100353490769091,0.0423226958135272,-0.680508485167598
"ZIC2",2.23376486193772,4.5707398362976,3.79540094428751,0.00110070588944426,0.0442312989430666,-0.765483125118011
"GLIDR /// LOC728903",1.13135007533517,8.85911477352723,3.79139582286319,0.00111113205006646,0.0442610092944054,-0.774149112368701
"HIST1H2AM",1.05269700572656,5.12740005870818,3.77042689680104,0.00116733806478561,0.0447162724491164,-0.819502906550515
"RP11-111M22.4",1.34954678178306,5.99467026107302,3.73636934851568,0.00126469133730076,0.046696295531105,-0.893101170747766
"NOX4",1.17354242945413,3.94145332763288,3.73185282103546,0.00127819156538274,0.0468171731528955,-0.902855018318264
"LOC102724156",1.19008140222056,6.70359306388648,3.7312818848022,0.00127990826264081,0.0468171731528955,-0.904087897059288
"SLC7A11",1.2742534386082,5.57602718701208,3.73043799165757,0.00128244987144198,0.0468372996526635,-0.905910153292124
"LOC101927085",1.09333966068754,4.48861671383796,3.6938493139954,0.0013975845530393,0.0486980573147915,-0.984864257843603
"LOC283177",1.65304606045897,6.38020122707795,3.68968764423818,0.00141131124644518,0.0490827876897787,-0.993837816603936
"VSTM2L",1.47230973650273,8.1959721521615,3.675774102356,0.00145817828457019,0.0493730555841276,-1.02382817765179
"INSM1",2.32102881258598,5.14763668641222,3.66143284322033,0.00150809626994698,0.0496590696554378,-1.05472302086256
"TMTC4",1.02862622213661,7.43356134744655,3.65870538212107,0.00151777917629021,0.0496927915414251,-1.06059663809779
