"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"POPDC2",-1.21463022915534,6.18382180866587,-4.35679169003217,0.000292651981039704,0.0262838471192833,0.45452215274136
"PPAP2B",-1.06603882122997,7.41054060428319,-4.35659507261768,0.000292787752774329,0.0262838471192833,0.454094597836837
"CSRP2",-1.57219892289885,9.46261253551872,-4.34840215597319,0.000298501858154852,0.0265069049737585,0.436277956338022
"SLC18A2",-1.79541861733523,6.96642704987321,-4.34040226658202,0.000304189371496709,0.026796007556564,0.418879779839784
"TUBA4A",-1.02732396101557,8.64354691740511,-4.30920357117232,0.000327428864247167,0.0278019021194706,0.351017759299406
"DACT1",-1.10883938905033,8.5861449565082,-4.28153411004719,0.000349526106779691,0.0284458617005479,0.290820037086566
"FAM46B",-1.59405762577838,5.47611832308876,-4.27553358444003,0.000354512201353447,0.0286533573052683,0.277764041203803
"SRD5A2",-1.29305899205344,8.92747993537178,-4.22708045312528,0.000397476598264757,0.0302545294213175,0.17232789317262
"ITM2C",-1.0846609940038,9.65275076713402,-4.21829815383316,0.000405805104109965,0.0303058822309272,0.153215769807135
"SGCE",-1.19047170483095,8.77723579835431,-4.21317054192801,0.000410748349020062,0.0305184318133727,0.142056907464196
"C12orf75",-1.66398163181589,7.23542331080902,-4.19103536279204,0.000432789008484482,0.0319192860507867,0.0938852890066748
"ATP1A2",-1.49783711274623,7.4889828693696,-4.19090829926914,0.000432918888188816,0.0319192860507867,0.0936087674147954
"TSPAN18",-1.28608220852495,6.34258036719156,-4.18449811242967,0.000439522029540094,0.0321545148448268,0.0796586470176637
"EFHD1",-1.52931065681973,7.60923274215151,-4.15742445207187,0.000468540822972008,0.0330770729242042,0.0207411371835446
"LARGE",-1.02801756196925,7.67119446812291,-4.14809429360292,0.000478979175970592,0.0333301485764152,0.000437759082151601
"HSPB8",-1.41846736117285,7.32300207124205,-4.1430557515176,0.000484712559601625,0.0335295880868354,-0.0105263707355112
"LINC00960",-1.08870219676398,3.58504158816557,-4.13934995460586,0.000488973159599683,0.0335295880868354,-0.0185902505053468
"GSTM4",-1.18860126534692,6.448894386977,-4.12858136157161,0.000501567634391548,0.0340023508485252,-0.0420222142953559
"ITGB1BP2",-1.09710401522887,4.84343650321809,-4.12693930744048,0.00050351640119762,0.0340054771043668,-0.0455951510345853
