D_GSM1348933.CEL	D_GSM1348934.CEL	D_GSM1348935.CEL	D_GSM1348936.CEL	D_GSM1348938.CEL	D_GSM1348939.CEL	D_GSM1348940.CEL	D_GSM1348941.CEL	D_GSM1348942.CEL	D_GSM1348943.CEL	D_GSM1348944.CEL	D_GSM1348945.CEL	H_GSM1348946.CEL	H_GSM1348947.CEL	H_GSM1348949.CEL	H_GSM1348950.CEL	H_GSM1348951.CEL	H_GSM1348952.CEL	H_GSM1348953.CEL
AMACR /// C1QTNF3-AMACR	11.2455711210256	9.53470701015867	8.07846608161171	10.077111325616	12.6541893268979	12.6971669408812	10.9555537581555	11.4424236918864	10.703463894831	9.33209662347043	12.2550283904888	12.6677827674395	6.52230678785569	6.41688759585577	9.55277026117368	8.30832078279018	7.70129929756993	7.78965018134088	7.13503238644029
TBC1D30	6.50551095447926	7.49446568270594	5.81829338643032	5.7565090386535	6.63935526952539	6.57604658652667	6.75207304865915	6.39639829157913	6.77460786245901	5.97656953819989	6.98286619464377	6.4311582579118	4.75731118263191	4.97515684345495	5.88796976067778	5.83163202865403	5.23862091612901	5.62082934676591	4.90290804911017
SNHG19	10.3273123108356	10.6247278942493	10.0113514919791	11.1336899567294	12.2088098982771	10.9504324552323	11.0819241840537	10.5925221571316	11.5757412441456	10.7197946367249	11.723688709939	11.375804315266	10.081424242209	9.79859826807055	9.65434542146614	9.70271732086523	9.45073933673282	10.0067738982729	9.5878009454402
RPL22L1	9.89416952978256	10.0936090716712	8.57511844676748	9.15316851076585	10.632239712344	10.5508329555718	10.4757823273488	9.41823279244084	10.6076015950344	9.51060249199482	10.6585153878791	10.7153845916469	8.56549870694353	8.70202480867966	8.14192221595943	8.81011811376722	8.32329259459171	8.9990592345637	8.47042086143223
ESRP2 /// MIR6773	10.6505142661276	10.9465276928912	10.1462156056821	10.5101921121467	11.4775967835266	10.6090870807008	11.1278876487658	10.1495874749685	10.7174717185768	10.0901261469797	10.277575174907	10.1769615630074	8.37866550898602	9.44171992035242	9.84245871044132	9.80505434461265	9.75872123219872	9.44152775640283	9.45696861984395
EZH2	8.90758685054824	8.16991235077348	7.39913330750496	7.81140808664531	8.57306911563711	8.20041455117434	8.99870361281765	7.61850994326572	8.56315343053309	8.35149940530787	8.43258019656033	8.01089597526241	7.01230557321882	7.77695035226408	7.37785285317964	7.03451370872108	7.04993972854405	7.04391279459007	7.222169720839
GAL	5.13089477177909	6.28952347727909	5.29600592714719	5.03918359341775	6.3569717197091	5.7738573006288	5.84686764914706	5.69373776834171	6.18268461526002	4.87182672268658	6.0260226303517	5.59100164316886	4.65961410333454	4.14834245148131	4.82361488941871	4.63515041937667	4.72944270153016	4.46293077010605	4.96430651961083
CACNA1D	8.04754691453833	7.7797429001539	7.57946599600964	6.66818810181361	8.50125247426885	9.12959603293897	9.67035038099511	8.79258361304137	9.28721606149647	8.43977067962837	9.30374643990673	9.49608846297369	6.11233422565387	7.6012113078797	6.66744648528522	6.77333719652743	6.13536434683116	7.13998911762798	6.67703415541765
SLC43A1	9.25548879262181	9.40701839484952	7.80261730381429	7.96311617008093	9.00356603953386	8.12785547323763	9.07066213627554	8.55962257119264	9.34778476449228	7.93637404145171	9.68322150654087	10.006713775681	6.65774167643733	6.64885327743681	7.43965377417183	7.82132607212507	7.8918113758077	7.28079476003829	7.30660114620016
PCA3	3.32159384844641	9.64130981248518	5.53551436038933	7.00509700553857	9.59664034992396	9.65137688223314	8.66747407947246	8.29379288013785	9.00455162883669	6.43876351381584	8.41772993391235	9.40634473377042	3.74081648824203	3.86834878920455	5.80600815438766	3.86995369624644	3.72231791274305	3.93066584296016	4.2694640835646
